FechaObservacion,Temp_BOGOTA,Temp_ANTIOQUIA,Temp_VALLE DEL CAUCA,Temp_ATLANTICO,Temp_BOLIVAR,Temp_CUNDINAMARCA,Temp_NORTE DE SANTANDER,Temp_SANTANDER,Temp_CESAR,Temp_META,Año,Mes
2007-01-19,15.008333333333333,20.331100478468898,21.517355371900827,25.23913043478261,26.883333333333336,15.703065134099617,18.629166666666666,18.968243243243244,24.160416666666666,28.325,2007,01
2007-01-20,14.658333333333333,20.06325581395349,21.43719008264463,25.233333333333334,26.983333333333334,14.907307692307693,19.92361111111111,18.847619047619048,24.318749999999998,27.958333333333332,2007,01
2007-01-21,14.633333333333333,20.21361502347418,22.255,25.454166666666666,27.695833333333336,15.340996168582375,20.42361111111111,18.887261146496815,24.59583333333333,27.691666666666666,2007,01
2007-01-22,16.304166666666667,21.21682242990654,22.66324786324786,25.59130434782609,27.941666666666666,16.762737642585552,20.419718309859153,19.838749999999997,24.677083333333332,28.224999999999998,2007,01
2007-01-23,15.862499999999999,20.720627802690583,23.014049586776856,25.541666666666668,27.579166666666666,16.324045801526715,21.352777777777778,19.453846153846154,24.75208333333333,27.95,2007,01
2007-01-24,15.829166666666667,20.926694915254238,23.103333333333335,25.82608695652174,27.675,16.3078125,21.258333333333333,20.00191082802548,25.289361702127657,28.266666666666666,2007,01
2007-01-25,15.145833333333334,19.393805309734514,21.074166666666667,26.195833333333336,26.95,16.579847908745247,21.538888888888888,19.333132530120483,25.672916666666666,28.4375,2007,01
2007-01-26,14.120833333333332,19.01860465116279,20.896610169491527,25.4875,27.64090909090909,15.95340909090909,20.730555555555554,17.551973684210527,24.291666666666668,27.645833333333332,2007,01
2007-01-27,15.629166666666668,19.986046511627908,22.152066115702482,25.883333333333336,27.358333333333334,16.359469696969697,20.961111111111112,19.030666666666665,24.570212765957447,28.066666666666666,2007,01
2007-01-28,14.858333333333334,21.268837209302326,22.960330578512394,26.270833333333332,28.145833333333332,15.912927756653994,21.88611111111111,19.381645569620254,25.579166666666666,28.058333333333334,2007,01
2007-01-29,14.85,21.062962962962963,23.83076923076923,26.25,27.879166666666666,15.792424242424241,22.084285714285716,20.2,26.210416666666664,28.09583333333333,2007,01
2007-01-30,15.066666666666668,20.844978165938866,23.50979020979021,26.741666666666664,28.65833333333333,15.796969696969695,21.080555555555556,19.565605095541404,24.754166666666666,28.508333333333336,2007,01
